Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
Universal Wire Works Commercially Pure (AMS 4951) Titanium Alloy Filler Metal,,,"{'metric_value': '172', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '345', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other', '<= 0.60 %', '<= 0.60 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '98.885 - 100 %', '98.885 - 100 %', 'As Remainder']]"
Titanium 11 (Ti-6Al-2Sn-1.5Zr-1Mo-0.35Bi-0.1Si),"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '115', 'metric_unit': 'GPa', 'comment': 'Typical value for an alpha titanium alloy'}","{'metric_value': '930', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1030', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '9.00 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Bismuth, Bi', '0.35 %', '0.35 %', ''], ['Molybdenum, Mo', '1.0 %', '1.0 %', ''], ['Silicon, Si', '0.10 %', '0.10 %', ''], ['Tin, Sn', '2.5 %', '2.5 %', ''], ['Titanium, Ti', '89 %', '89 %', ''], ['Zirconium, Zr', '1.5 %', '1.5 %', '']]"
Matexcel MET-0019 Titanium-based Ti-CP Powder,,,,,,,,"[['Carbon, C', '<= 0.030 %', '<= 0.030 %', ''], ['Hydrogen, H', '<= 0.0080 %', '<= 0.0080 %', ''], ['Iron, Fe', '<= 0.10 %', '<= 0.10 %', ''], ['Nitrogen, N', '<= 0.012 %', '<= 0.012 %', ''], ['Other, each', '0.050 %', '0.050 %', ''], ['Other, total', '0.20 %', '0.20 %', ''], ['Oxygen, O', '<= 0.10 %', '<= 0.10 %', ''], ['Titanium, Ti', '>= 99.55 %', '>= 99.55 %', '']]"
"Kobe Steel KS-6-2-4-6 Alpha-Beta Titanium Alloy, AMS 4981, Solution treated and aged. Thickness ≤ 3 in.",,,"{'metric_value': '1103', 'metric_unit': 'MPa', 'comment': '0.2% proof'}","{'metric_value': '1172', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.040 %', '<= 0.040 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.15 %', '<= 0.15 %', ''], ['Molybdenum, Mo', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Nitrogen, N', '<= 0.040 %', '<= 0.040 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '1.75 - 2.25 %', '1.75 - 2.25 %', ''], ['Titanium, Ti', '>= 79.855 %', '>= 79.855 %', 'As Remainder'], ['Zirconium, Zr', '3.5 - 4.5 %', '3.5 - 4.5 %', '']]"
Matexcel MET-0020 Titanium-based TA15 Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 7.1 %', '5.5 - 7.1 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '0.50 - 2.0 %', '0.50 - 2.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '0.10 %', '0.10 %', ''], ['Other, total', '0.30 %', '0.30 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '84.905 - 91.4 %', '84.905 - 91.4 %', ''], ['Vanadium, V', '0.80 - 2.5 %', '0.80 - 2.5 %', ''], ['Zirconium, Zr', '<= 0.15 %', '<= 0.15 %', ''], ['', '1.5 - 2.5 %', '1.5 - 2.5 %', '']]"
"Kobe Steel KS100 Commercially Pure Titanium, Annealed","{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '550', 'metric_unit': 'MPa', 'comment': '0.2% proof'}","{'metric_value': '650', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.45 %', '<= 0.45 %', ''], ['Nitrogen, N', '<= 0.070 %', '<= 0.070 %', ''], ['Oxygen, O', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '>= 98.887 %', '>= 98.887 %', 'As Remainder']]"
"Titanium Ti-6Al-2Sn-4Zr-2Mo (Ti-6-2-4-2), Duplex Annealed","{'metric_value': '4.54', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '113.8', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '860', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '940', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '280', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.0'}","{'metric_value': '0.460', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '7.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '2.0 %', '2.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '86 %', '86 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
"Titanium Ti-6Al-2Nb-1Ta-1Mo, Annealed","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '115.8', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '760', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '860', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '170', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.0'}","{'metric_value': '0.550', 'metric_unit': 'J/g-°C', 'comment': 'Estimated from similar materials'}","[{'value': '9.20 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '93.0 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Molybdenum, Mo', '1.0 %', '1.0 %', ''], ['Niobium, Nb (Columbium, Cb)', '2.0 %', '2.0 %', ''], ['Tantalum, Ta', '1.0 %', '1.0 %', ''], ['Titanium, Ti', '90 %', '90 %', '']]"
Matexcel MET-0019 Titanium-based Ti-CP Powder,,,,,,,,"[['Carbon, C', '<= 0.030 %', '<= 0.030 %', ''], ['Hydrogen, H', '<= 0.0080 %', '<= 0.0080 %', ''], ['Iron, Fe', '<= 0.10 %', '<= 0.10 %', ''], ['Nitrogen, N', '<= 0.012 %', '<= 0.012 %', ''], ['Other, each', '0.050 %', '0.050 %', ''], ['Other, total', '0.20 %', '0.20 %', ''], ['Oxygen, O', '<= 0.10 %', '<= 0.10 %', ''], ['Titanium, Ti', '>= 99.55 %', '>= 99.55 %', '']]"
"Kobe Steel KS120SI Titanium alloy with low alloying elements, Annealed","{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '650', 'metric_unit': 'MPa', 'comment': '0.2% proof'}","{'metric_value': '750', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.60 %', '<= 0.60 %', ''], ['Nitrogen, N', '<= 0.070 %', '<= 0.070 %', ''], ['Oxygen, O', '<= 0.37 %', '<= 0.37 %', ''], ['Silicon, Si', '0.50 - 0.70 %', '0.50 - 0.70 %', ''], ['Titanium, Ti', '>= 98.167 %', '>= 98.167 %', 'As Remainder']]"
Matexcel MET-0018 Titanium-based Ti6Al4V Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 6.75 %', '5.5 - 6.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '88.1 - 91 %', '88.1 - 91 %', ''], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', '']]"
"Kobe Steel KS15-3-3-3 Beta Titanium Alloy, AMS 4914, Solution treated","{'metric_value': '4.76', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '68', 'metric_unit': '9', 'comment': '0.2% proof'}","{'metric_value': '70', 'metric_unit': '3', 'comment': ''}",,,,"[['Aluminum, Al', '2.5 - 3.5 %', '2.5 - 3.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Chromium, Cr', '2.5 - 3.5 %', '2.5 - 3.5 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Tin, Sn', '2.5 - 3.5 %', '2.5 - 3.5 %', ''], ['Titanium, Ti', '>= 73.005 %', '>= 73.005 %', 'As Remainder'], ['Vanadium, V', '14 - 16 %', '14 - 16 %', '']]"
Universal Wire Works 5Al-2.5Sn (AMS 4953) Titanium Alloy Filler Metal,,,"{'metric_value': '793', 'metric_unit': 'MPa', 'comment': 'Annealed'}","{'metric_value': '827', 'metric_unit': 'MPa', 'comment': 'Annealed'}",,,,"[['Aluminum, Al', '<= 5.75 %', '<= 5.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.50 %', '<= 0.50 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.175 %', '<= 0.175 %', ''], ['Tin, Sn', '<= 3.0 %', '<= 3.0 %', ''], ['Titanium, Ti', '>= 90.43 %', '>= 90.43 %', 'As Remainder']]"
Titanium Ti-6Al-2Sn-4Zr-2Mo-0.1Si; Duplex Annealed,"{'metric_value': '4.54', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '118', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1050', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1110', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '225', 'metric_unit': 'MPa', 'comment': 'Kt= 3'}","{'metric_value': '0.460', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '7.70 µm/m-°C', 'start_temp': '0.000 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '0.060 - 0.10 %', '0.060 - 0.10 %', ''], ['Tin, Sn', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Titanium, Ti', '83.785 - 87.24 %', '83.785 - 87.24 %', 'As Balance; Elemental Composition per ASTM B265'], ['Zirconium, Zr', '3.6 - 4.4 %', '3.6 - 4.4 %', '']]"
"Titanium Ti-13V-2.7Al-7Sn-2Zr, ST 815°C, Aged 510°C","{'metric_value': '4.70', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1360', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1420', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '840', 'metric_unit': 'MPa', 'comment': 'unnotched'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.7 %', '2.7 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '7.0 %', '7.0 %', ''], ['Titanium, Ti', '75 %', '75 %', ''], ['Vanadium, V', '13 %', '13 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
"Kobe Steel KS60 Commercially Pure Titanium, ASTM Gr. 2, Annealed","{'metric_value': '4.51', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '27', 'metric_unit': '5', 'comment': ''}","{'metric_value': '345', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.25 %', '<= 0.25 %', ''], ['Titanium, Ti', '>= 99.325 %', '>= 99.325 %', 'As Remainder']]"
Deutsche Titan Tikrutan LT 24 Alloyed Titanium,"{'metric_value': '4.55', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '114', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '820', 'metric_unit': 'MPa', 'comment': 'Aged'}","{'metric_value': '890', 'metric_unit': 'MPa', 'comment': 'Aged'}",,,,"[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '0.060 - 0.12 %', '0.060 - 0.12 %', ''], ['Tin, Sn', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Titanium, Ti', '84.065 - 87.24 %', '84.065 - 87.24 %', ''], ['Zirconium, Zr', '3.6 - 4.4 %', '3.6 - 4.4 %', ''], [''], [], ['Phase Type', 'α(+ß)', 'At Room Temperature']]"
Universal Wire Works 5Al-2.5Sn (AMS 4953) Titanium Alloy Filler Metal,,,"{'metric_value': '793', 'metric_unit': 'MPa', 'comment': 'Annealed'}","{'metric_value': '827', 'metric_unit': 'MPa', 'comment': 'Annealed'}",,,,"[['Aluminum, Al', '<= 5.75 %', '<= 5.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.50 %', '<= 0.50 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.175 %', '<= 0.175 %', ''], ['Tin, Sn', '<= 3.0 %', '<= 3.0 %', ''], ['Titanium, Ti', '>= 90.43 %', '>= 90.43 %', 'As Remainder']]"
"Titanium Ti-6Al-2Sn-2Zr-2Mo-2Cr-.25Si, Annealed","{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '122', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '970', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1030', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.500', 'metric_unit': 'J/g-°C', 'comment': 'Estimated from similar materials'}","[{'value': '9.40 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.040 %', '<= 0.040 %', ''], ['Chromium, Cr', '2.0 %', '2.0 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '2.0 %', '2.0 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.14 %', '<= 0.14 %', ''], ['Silicon, Si', '0.25 %', '0.25 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '86 %', '86 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
Titanium Ti-4Al-3Mo-1V,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '117', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1100', 'metric_unit': 'MPa', 'comment': '0.2% offset'}",,,,,"[['Aluminum, Al', '4.0 %', '4.0 %', ''], ['Molybdenum, Mo', '3.0 %', '3.0 %', ''], ['Titanium, Ti', '92 %', '92 %', ''], ['Vanadium, V', '1.0 %', '1.0 %', '']]"
Ti12Mo5Zr5Sn ß titanium alloy,,,"{'metric_value': '1002', 'metric_unit': 'MPa', 'comment': 'as forged and aged (600°C)'}","{'metric_value': '1010', 'metric_unit': 'MPa', 'comment': 'as forged and aged (600°C)'}",,,,"[['Molybdenum, Mo', '11.5 %', '11.5 %', ''], ['Tin, Sn', '4.5 %', '4.5 %', ''], ['Titanium, Ti', '79 %', '79 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
"Titanium Ti-13V-11Cr-3Al; (Ti-13-11-3) Annealed 800°C, 30 min.","{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '99.0', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '860', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '950', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '140', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.0'}","{'metric_value': '0.545', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '9.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '95.0 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '11 %', '11 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['Nitrogen, N', '<= 0.080 %', '<= 0.080 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '73 %', '73 %', ''], ['Vanadium, V', '13 %', '13 %', '']]"
EOS Titanium Ti64 ELI DMSL on EOS M 290,"{'metric_value': '4.41', 'metric_unit': 'g/cc', 'comment': 'ISO 3369'}",,"{'metric_value': '945', 'metric_unit': 'MPa', 'comment': 'Horizontal, Heat treated; ISO 6892-1'}","{'metric_value': '1055', 'metric_unit': 'MPa', 'comment': 'Horizontal, Heat treated; ISO 6892-1'}",,,,"[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '87.97 - 91 %', '87.97 - 91 %', 'Balance'], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], [''], [], ['Surface roughness', '20-50 µm', 'Rz, after shot peening'], ['', '5 - 9 µm', 'Ra, after shot peening'], ['Volume rate', '5 mm³/s', '']]"
"Titanium Ti-11.5Mo-6Zr-4.5Sn, ST 720°C, Aged 495°C","{'metric_value': '5.06', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '108', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1200', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1240', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '380', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.0'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '7.60 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['', '<= 0.10 %', '<= 0.10 %', ''], ['Hydrogen, H', '<= 0.020 %', '<= 0.020 %', ''], ['', '<= 0.020 %', '<= 0.020 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['', '<= 0.35 %', '<= 0.35 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.010 %', '<= 0.010 %', ''], ['', '<= 0.050 %', '<= 0.050 %', ''], ['Other, total', '<= 0.040 %', '<= 0.040 %', ''], ['', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['', '<= 0.18 %', '<= 0.18 %', ''], ['Tin, Sn', '3.75 - 5.25 %', '3.75 - 5.25 %', ''], ['Titanium, Ti', '86.27 - 91.75 %', '86.27 - 91.75 %', 'As Balance; Elemental Composition per ASTM B265'], ['Zirconium, Zr', '4.5 - 7.5 %', '4.5 - 7.5 %', '']]"
"Titanium IMI 679 (Ti-11Sn-5Zr-2.25Al-1Mo-0.25Si), Air Cooled and Aged","{'metric_value': '4.84', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '115', 'metric_unit': 'GPa', 'comment': 'Typical value for an alpha titanium alloy'}","{'metric_value': '880', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1030', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'MPa', 'comment': 'Kt= 3.0; R = -1.0 (air-cooled and aged sample)'}","{'metric_value': '0.500', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '2.25 %', '2.25 %', ''], ['Molybdenum, Mo', '1.0 %', '1.0 %', ''], ['Silicon, Si', '0.25 %', '0.25 %', ''], ['Tin, Sn', '11 %', '11 %', ''], ['Titanium, Ti', '81 %', '81 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
"Titanium Ti-8Mo-8V-2Fe-3Al ST 800°C, Aged 595°C (1100°F)","{'metric_value': '4.85', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '94.0', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1040', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1100', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '2.0 %', '2.0 %', ''], ['Molybdenum, Mo', '8.0 %', '8.0 %', ''], ['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '0.10 - 0.16 %', '0.10 - 0.16 %', ''], ['Sulfur, S', '<= 0.010 %', '<= 0.010 %', ''], ['Titanium, Ti', '79 %', '79 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', '']]"
Titanium Transage 134 Triplex Heat Treat 870/565/480°C,"{'metric_value': '4.73', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Typical Value for STA beta titanium alloy.'}","{'metric_value': '1170', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1230', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.5 %', '2.5 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '77.5 %', '77.5 %', ''], ['Vanadium, V', '12 %', '12 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '6.0 %', '6.0 %', '']]"
